(u'45', 0.60667988067597989)
(u'hung', 0.60604314179239438)
(u'proof', 0.60567310042857869)
(u'discuss', 0.60521206150214191)
(u'um', 0.60497357758337422)
(u'asking', 0.60393023265439538)
(u'walks', 0.60389400048232922)
(u'shady', 0.60369633725925098)
(u'sh', 0.60290917389586696)
(u'vacuum', 0.6022971848136045)
(u'sloppy', 0.60179187340725981)
(u'outdated', 0.60163357312761967)
(u'duty', 0.60131465679180529)
(u'replace', 0.59968612555905132)
(u'left', 0.59951795881124159)
(u'quoted', 0.5994576008875292)
(u'sir', 0.59916540223312609)
(u'avoid', 0.59805529483778663)
(u'report', 0.59749599690141153)
(u'woman', 0.59622485039436235)
(u'responsible', 0.5960623918829242)
(u'lack', 0.59605842881082971)
(u'wrote', 0.5957635273219406)
(u'positives', 0.59547419540834845)
(u'douche', 0.59525135418179964)
(u'huh', 0.59451402695945532)
(u'blame', 0.59449392019252301)
(u'apparently', 0.59411023320416945)
(u'shocked', 0.59372850859986137)
(u'aggressive', 0.59355812855948997)
(u'housekeeping', 0.59313430067648198)
(u'answers', 0.591924849966599)
(u'treating', 0.59146805622243903)
(u'nickel', 0.59145428648007226)
(u'windshield', 0.59119795566255817)
(u'fifteen', 0.59116648883645695)
(u'fault', 0.590916712624173)
(u'ignore', 0.59077323703226092)
(u'processed', 0.58921664064208734)
(u'ghetto', 0.58900551516483546)
(u'copy', 0.58769561972539819)
(u'saying', 0.58752337007906696)
(u'hostess', 0.58611936909879425)
(u'scheduled', 0.58587591825778773)
(u'throwing', 0.58558562180211915)
(u'sudden', 0.58535894631346608)
(u'paying', 0.58382082100936117)
(u'prove', 0.58223617668656757)
(u'spoken', 0.58199759861076039)
(u'bouncers', 0.58193128781202219)
(u'harsh', 0.58076235437645884)
(u'advise', 0.57998609211927032)
(u'voice', 0.57923568951436089)
(u'backed', 0.57857009107353008)
(u'suck', 0.57812659594565297)
(u'tab', 0.57672717695095166)
(u'placing', 0.5763716753132293)
(u'dry', 0.57607652369889362)
(u'somebody', 0.57502447997458184)
(u'renting', 0.57486770300104695)
(u'terribly', 0.57485124900231455)
(u'beware', 0.57338602888906642)
(u'doctor', 0.57332558112152654)
(u'drug', 0.57319499206733759)
(u'600', 0.57290340899732328)
(u'hardly', 0.57190566410597654)
(u'fee', 0.5717256573620535)
(u'ownership', 0.57125016613543345)
(u'properly', 0.56940742839721814)
(u'associate', 0.5683278695832783)
(u'uh', 0.5676107958455674)
(u'agreed', 0.56760373822096355)
(u'him', 0.56736577312568937)
(u'deserve', 0.56733837257770858)
(u'bitch', 0.56644693395436363)
(u'signed', 0.56644533630737826)
(u'attendant', 0.5659237737796996)
(u'waitress', 0.56567245890710982)
(u'cigarette', 0.56550732942756454)
(u'she', 0.56487020443380498)
(u'empty', 0.56466067049507096)
(u'id', 0.56375756647988418)
(u'treated', 0.56297213633764365)
(u'stood', 0.56053578862227837)
(u'dealership', 0.56030784974796966)
(u'thirty', 0.55851047235863582)
(u'napkins', 0.55812606274793986)
(u'fishy', 0.55747659039917252)
(u'computer', 0.55730498602038914)
(u'freezer', 0.55730498602038914)
(u'technician', 0.55672732916289291)
(u'company', 0.55596046155627121)
(u'carpet', 0.55492070043536756)
(u'apparent', 0.55384619223860021)
(u'tech', 0.55301985167924705)
(u'dropped', 0.55271773534746949)
(u'dealing', 0.55178632101779179)
(u'answer', 0.55164356367110479)
(u'napkin', 0.55151375114184908)
(u'yikes', 0.55122593994400759)
(u'profit', 0.55122593994400582)
(u'neither', 0.54951214346627175)
(u'toilet', 0.54928011517111841)
(u'trap', 0.54843542587488159)
(u'requested', 0.54819702205053034)
(u'lie', 0.54724613980357972)
(u'replacement', 0.547064167900702)
(u'dissapointed', 0.54654209063158099)
(u'ill', 0.54530037835738021)
(u'wont', 0.54437548092416854)
(u'checks', 0.54420457704484981)
(u'solution', 0.54409639013811173)
(u'utterly', 0.54387773311691845)
(u'risk', 0.54354672131964321)
(u'assistance', 0.54141911199701909)
(u'lady', 0.54075023464481475)
(u'somewhere', 0.54071521489584384)
(u'homeless', 0.54015501182824721)
(u'confused', 0.53886691072632154)
(u'concern', 0.53881605633952923)
(u'information', 0.53881356435106476)
(u'bills', 0.53807927906070674)
(u'dollars', 0.53807083982195891)
(u'waiting', 0.53777951421743886)
(u'nowhere', 0.53772256778293226)
(u'guard', 0.53704130495204971)
(u'completely', 0.53645226337360619)
(u'quit', 0.53628435994580848)
(u'overheard', 0.53427638163023516)
(u'eventually', 0.53418163472477431)
(u'walmart', 0.5336804183562478)
(u'acting', 0.53189401164451588)
(u'thinks', 0.53140074921637925)
(u'below', 0.53053040095784709)
(u'mcdonald', 0.53050591964741223)
(u'placed', 0.53006369313178858)
(u'secondly', 0.52985591420781475)
(u'dripping', 0.5295403528724183)
(u'cafeteria', 0.52947048193351165)
(u'patients', 0.52914034379805308)
(u'accept', 0.52861802326613727)
(u'industry', 0.52833212007815433)
(u'no', 0.52773827487157643)
(u'returning', 0.52676351628396034)
(u'downright', 0.52662537024568934)
(u'hill', 0.52655693871069964)
(u'obviously', 0.52634368558636524)
(u'tries', 0.52627222392908735)
(u'appetizing', 0.52515369963423097)
(u'potential', 0.52482445299953717)
(u'sadly', 0.52451114901126417)
(u'assistant', 0.52391727493588114)
(u'someone', 0.52293339421591156)
(u'smiled', 0.5228601502001613)
(u'arrives', 0.52252777585726307)
(u'alarm', 0.52245915091629236)
(u'card', 0.52218422093959127)
(u'couldnt', 0.521313933589445)
(u'leaving', 0.52123743145598667)
(u'rental', 0.51955016601902138)
(u'her', 0.51945604223855479)
(u'shaking', 0.51934871518493431)
(u'reaction', 0.51682451322667333)
(u'300', 0.51635711429318398)
(u'pay', 0.51572034310494619)
(u'didnt', 0.51525261047721926)
(u'stare', 0.51490307957931414)
(u'forever', 0.51486139328753211)
(u'twenty', 0.51480366738274341)
(u'fooled', 0.51370920055907199)
(u'refill', 0.51340991869187746)
(u'maintenance', 0.51276767100585552)
(u'luggage', 0.5123016987762945)
(u'microwave', 0.51212940411610575)
(u'showed', 0.51105758063026308)
(u'cleaned', 0.51086907821177974)
(u'reserved', 0.51036374522676553)
(u'should', 0.51028826802120353)
(u'quote', 0.50990634542319491)
(u'ruin', 0.50964840269719502)
(u'washing', 0.50894321878462989)
(u'courtesy', 0.50889963423257356)
(u'unfortunately', 0.50887958086882712)
(u'400', 0.50862314856443192)
(u'female', 0.50830494504787005)
(u'outrageous', 0.5021599213136394)
(u'boring', 0.50179344623744804)
(u'anymore', 0.50172046333475251)
(u'elderly', 0.50164432341826348)
(u'numbers', 0.50149326863600052)
(u'medical', 0.50067366078117637)
(u'walked', 0.50000581004244804)
(u'weak', 0.49994526393259697)
(u'favor', 0.49888420970678204)
(u'hired', 0.49886476852779182)
(u'booked', 0.49858623913129918)
(u'merely', 0.4984653681043163)
(u'apartment', 0.4983715750989397)
(u'remaining', 0.49831131910736737)
(u'toe', 0.49577463540779299)
(u'tests', 0.49503417673515315)
(u'mad', 0.49408207907322854)
(u'dead', 0.49404411813832638)
(u'cigarettes', 0.49401758977287002)
(u'hoping', 0.4933032922113032)
(u'began', 0.4919685542855543)
(u'bad', 0.49129049793813984)
(u'comped', 0.49102622090493853)
(u'act', 0.49098850070582678)
(u'cold', 0.49095400092511721)
(u'saving', 0.4897408562933272)
(u'claim', 0.48921999644373493)
(u'polish', 0.48898182474266605)
(u'tacky', 0.48742039545729732)
(u'staring', 0.48727930991575619)
(u'applied', 0.48695341162619776)
(u'lost', 0.48679953271428467)
(u'brake', 0.48668741880643651)
(u'wrong', 0.4866716380951992)
(u'00', 0.48641239886575782)
(u'shift', 0.48638184202789247)
(u'employees', 0.48626030565767131)
(u'obvious', 0.4862564771923541)
(u'appointment', 0.48609546728834907)
(u'frankly', 0.48595669170048339)
(u'code', 0.48559821272990433)
(u'husbands', 0.4849314921041703)
(u'disappointed', 0.48465748883212623)
(u'timeshare', 0.48407576937213825)
(u'hooters', 0.48386560599534967)
(u'runny', 0.48343442170451212)
(u'question', 0.48260697012527487)
(u'worker', 0.48247491550248789)
(u'broke', 0.48210075574744771)
(u'print', 0.48049941229036897)
(u'pointing', 0.47951892932782236)
(u'dealt', 0.47951158073636435)
(u'questionable', 0.47925244031891623)
(u'fryer', 0.47909035501749031)
(u'loss', 0.47908281942121533)
